full_text
Pantai Kelapa Kunjir | Rating: 4 | Komentar: tiket lumayan murah dibanding pantai sekitar nya... Bisa ngopi smbil ngadem di rerumputan
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Kemarin kesini hari Senin, 2 Jun
Naik motor sekitar jam 2 sore tiba
Bayar tiket kunjungan 10.000

Tempatnya sepi, menurut ku kurang cocok untuk jadi wisata keluarga, prefer ke tongkrongan anak muda karena ada area mancing nya

Pasirnya sedikit dan lumayan banyak sampah, pasirnya terlalu tajam untuk nyeker"
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Cocok buat anak2 air tenang, dan tidak dalam"
"Pantai Kelapa Kunjir | Rating: 1 | Komentar: Tiket nya mahal banget. Mobil 50rb. Tulisannya untuk kebersihan, tp hasilnya sampah dimana mana. Bener bener ga worth it, menyesal"
"Pantai Kelapa Kunjir | Rating: 3 | Komentar: Pantai yg ekonomis dg tarif 50.000/mobil. Ada bagian berpasir sedikit, sisanya batu. Bagian berpasir cocok utk anak main karena landai dan tenang. Tapi ya kotor airnya, banyak sampah di dalam air. Di sekitar juga pengunjung ga aware dg sampah. Pengelola bisa ingatkan pengunjung untuk bertanggungjawab thd sampah karena kotak sampah juga sudah ada.

Fasilitas lumayan, toilet bersih dg tarif perorang 3.000."
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pantai yang tenang. Tiket parkir 50 ribu...
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Jajanannya enak banget, recomended"
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Tempat favorit berduaan sama istri tercinta,soalnya masuk nya gratis,hanya dikenai biaya parkir 10k untuk motor"
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Ini tempat bagus, mungkin karena gw dateng nya di musim hujan jadi ada sedikit sampah karena terbawa arus sampe ke bibir pantai.
IG aldho_bello"
Pantai Kelapa Kunjir | Rating: 4 | Komentar: Pantai kecil tapi cukup untuk mengistirahatkan fikiran dari lelahnya pekerjaan
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pantainya masih asri, belum banyak pondokan."
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Nyaman dan sejuk. Weekend yang penuh dan ramai.
Pantai Kelapa Kunjir | Rating: 4 | Komentar: tempatnyaa baguss ademmm enakk
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Bersih,harga tiket masuknya terjangkau,sayang jln menuju ke lokasi sdh mulai rusak.coba ada yg perhatian dgn jlnnya"
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Pantainya banyak rumput, pohon, gak terlalu terik dan parkiran gk pinggir pantai.
Air laut gak dalem, lumayan buat ciblonan bocah-bocah"
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pantainya bagus
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Bagus
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Dulu waktu kesana pantainya masih luas, sekarang sudah dibagi jadi 3 kawasan jadi terkesan sempit, mungkin karna pemiliknya sudah beda orang. Tapi pantai nya worth it untuk bawa anak kecil karna ombaknya kecil kecil banget dan masih ada pasirnya"
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Bagus pantainya, gak terlalu ramai, bisa utk camping, view bagus, perlu di perhatikan akses jalan masuk, dan kebersihan lingkungan pantai"
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pntai bagus baik untuk anak2 berenang
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Tempatnya bagus, cukup sewa pondokan 50-75k, ada toilet, air bersih, ada mushola,
Akses jalan masih jelek"
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Akses masih blm bagus
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Tempatnya cukup baik untuk beraktifitas melakukan outbond, fun game, dan aktivitas luar ruangan lainnya, namun untuk akses menuju kesana cukup sulit karena minim petunjuk dari jalan utama dan juga akses jalan masuk kedalam lokasi yang masih butuh peningkatan. Saya harap tempat ini dapat dikembangkan menjadi tempat wisata yang berpotensi untuk menjadi destinasi wisata bagi orang banyak."
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Tempatnya bagus, cuma kalo untuk mandi kurang"
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Enak suasananya adem
Pantai Kelapa Kunjir | Rating: 3 | Komentar: akses jalan belum bagus
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Lumayan
Pantai Kelapa Kunjir | Rating: 3 | Komentar: Biaya masuk 10ribu
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Lumayan, untuk tempat nya nyaman, cocok klw untuk buat acara event keluarga , tapi air pantai agak kotor, untuk suasana ok lah"
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pantainya bersih, view bagus"
Pantai Kelapa Kunjir | Rating: 4 | Komentar: tempatnya ini sebelah tambak.bukan seperti pantai khusus cuma pantai dipinggir jalan menuju kampung
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pantai rakyat yang cukup bersih, di bagian depan ada pasir utk anak2 bermain, n dibagian belakang nya lebih banyak bebatuan, ada halaman luas bisa dimanfaatkan untuk kegiatan, wc juga tersedia, biaya masuknya motor Rp10.000 , mobil Rp 30.000 - Rp 50.000. Mohon supaya lebih banyak disediakan tempat sampah agar kebersihan pantai selalu terjaga, n bagi para pengunjung agar membuang sampah ditempatnya ya."
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Nice
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Bagus
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Slain pantai ad jg spot fto ilalang disna.
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Serasa pantai pribadi kalau bukan hari libur, cocok untuk para introvert healing. Kondisi yang tidak terlalu ramai menjadikan pantai nyaman untuk bersama keluarga, banyak pohon kelapa yang menjadikan pantai ini sejuk, fasilitas cukup lengkap seperti toilet, gazebo, sampai musholla ada di sini. Akses jalan lumayan"
Pantai Kelapa Kunjir | Rating: 5 | Komentar: pantainya lumayan
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Cukup bersih area pantai nya, hanya akses jalan masuk nya batu"" Agak besar"
Pantai Kelapa Kunjir | Rating: 1 | Komentar: Pernah kemah di sana.. pulangnya 20 orang kena malaria dan dbd.
